@RELATION soybean-large

@ATTRIBUTE date {0, 1, 2, 3, 4, 5, 6}
@ATTRIBUTE plant-stand {0, 1}
@ATTRIBUTE precip {0, 1, 2}
@ATTRIBUTE temp {0, 1, 2}
@ATTRIBUTE hail {0, 1}
@ATTRIBUTE crop-hist {0, 1, 2, 3}
@ATTRIBUTE area-damaged {0, 1, 2, 3}
@ATTRIBUTE severity {0, 1, 2}
@ATTRIBUTE seed-tmt {0, 1, 2}
@ATTRIBUTE germination {0, 1, 2}
@ATTRIBUTE plant-growth {0, 1}
@ATTRIBUTE leaves {0, 1}
@ATTRIBUTE leafspots-halo {0, 1, 2}
@ATTRIBUTE leafspots-marg {0, 1, 2}
@ATTRIBUTE leafspot-size {0, 1, 2}
@ATTRIBUTE leaf-shread {0, 1}
@ATTRIBUTE leaf-malf {0, 1}
@ATTRIBUTE leaf-mild {0, 1, 2}
@ATTRIBUTE stem {0, 1}
@ATTRIBUTE lodging {0, 1}
@ATTRIBUTE stem-cankers {0, 1, 2, 3}
@ATTRIBUTE canker-lesion {0, 1, 2, 3}
@ATTRIBUTE fruiting-bodies {0, 1}
@ATTRIBUTE external_decay {0, 1, 2}
@ATTRIBUTE mycelium {0, 1}
@ATTRIBUTE int-discolor {0, 1, 2}
@ATTRIBUTE sclerotia {0, 1}
@ATTRIBUTE fruit-pods {0, 1, 2, 3}
@ATTRIBUTE fruit_spots {0, 1, 2, 4}
@ATTRIBUTE seed {0, 1}
@ATTRIBUTE mold-growth {0, 1}
@ATTRIBUTE seed-discolor {0, 1}
@ATTRIBUTE seed-size {0, 1}
@ATTRIBUTE shriveling {0, 1}
@ATTRIBUTE roots {0, 1, 2}
@ATTRIBUTE class {2-4-d-injury, alternarialeaf-spot, anthracnose, bacterial-blight, bacterial-pustule, brown-spot, brown-stem-rot, charcoal-rot, cyst-nematode, diaporthe-pod-&-stem-blight, diaporthe-stem-canker, downy-mildew, frog-eye-leaf-spot, herbicide-injury, phyllosticta-leaf-spot, phytophthora-rot, powdery-mildew, purple-seed-stain, rhizoctonia-root-rot}

@DATA
6,0,2,1,0,1,1,1,0,0,1,1,0,2,2,0,0,0,1,1,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0,diaporthe-stem-canker
4,0,2,1,0,2,0,2,1,1,1,1,0,2,2,0,0,0,1,0,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0,diaporthe-stem-canker
3,0,2,1,0,1,0,2,1,2,1,1,0,2,2,0,0,0,1,0,3,0,1,1,0,0,0,0,4,0,0,0,0,0,0,diaporthe-stem-canker
3,0,2,1,0,1,0,2,0,1,1,1,0,2,2,0,0,0,1,0,3,0,1,1,0,0,0,0,4,0,0,0,0,0,0,diaporthe-stem-canker
6,0,2,1,0,2,0,1,0,2,1,1,0,2,2,0,0,0,1,0,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0,diaporthe-stem-canker
5,0,2,1,0,3,0,1,0,1,1,1,0,2,2,0,0,0,1,0,3,0,1,1,0,0,0,0,4,0,0,0,0,0,0,diaporthe-stem-canker
5,0,2,1,0,2,0,1,1,0,1,1,0,2,2,0,0,0,1,1,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0,diaporthe-stem-canker
4,0,2,1,1,1,0,1,0,2,1,1,0,2,2,0,0,0,1,0,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0,diaporthe-stem-canker
6,0,2,1,0,3,0,1,1,1,1,1,0,2,2,0,0,0,1,0,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0,diaporthe-stem-canker
4,0,2,1,0,2,0,2,0,2,1,1,0,2,2,0,0,0,1,0,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0,diaporthe-stem-canker
6,0,0,2,0,1,3,1,1,0,1,1,0,2,2,0,0,0,1,0,0,3,0,0,0,2,1,0,4,0,0,0,0,0,0,charcoal-rot
4,0,0,1,1,1,3,1,1,1,1,1,0,2,2,0,0,0,1,1,0,3,0,0,0,2,1,0,4,0,0,0,0,0,0,charcoal-rot
